objectPathId,objectName,scriptPathId,matchedClassName,matchedNamespace,fieldsFromDump,confidence,evidence,notes
93,Instance_of_ActivationPlayableAsset,2175,ActivationPlayableAsset,UnityEngine.Timeline,UNKNOWN,HIGH,MonoScript PPtr,
157,Unknown,,UNKNOWN,UNKNOWN,UNKNOWN,LOW,Stripped,Cannot resolve script
173,Instance_of_BuyGameButtonIAP,823,BuyGameButtonIAP,,UNKNOWN,HIGH,MonoScript PPtr,
303,Instance_of_CameraFacingBillboard,1635,CameraFacingBillboard,,UNKNOWN,HIGH,MonoScript PPtr,
304,Instance_of_CameraFacingBillboard,1635,CameraFacingBillboard,,UNKNOWN,HIGH,MonoScript PPtr,
693,Instance_of_DungeonProcessor,2011,DungeonProcessor,,UNKNOWN,HIGH,MonoScript PPtr,
771,Instance_of_TvOSFunctions,1631,TvOSFunctions,,UNKNOWN,HIGH,MonoScript PPtr,
171,Instance_of_ActivationPlayableAsset,2175,ActivationPlayableAsset,UnityEngine.Timeline,UNKNOWN,HIGH,MonoScript PPtr,
176,Instance_of_ActivationPlayableAsset,2175,ActivationPlayableAsset,UnityEngine.Timeline,UNKNOWN,HIGH,MonoScript PPtr,
178,Instance_of_ActivationPlayableAsset,2175,ActivationPlayableAsset,UnityEngine.Timeline,UNKNOWN,HIGH,MonoScript PPtr,
182,Instance_of_ActivationPlayableAsset,2175,ActivationPlayableAsset,UnityEngine.Timeline,UNKNOWN,HIGH,MonoScript PPtr,
189,Instance_of_ActivationPlayableAsset,2175,ActivationPlayableAsset,UnityEngine.Timeline,UNKNOWN,HIGH,MonoScript PPtr,
190,Instance_of_ActivationPlayableAsset,2175,ActivationPlayableAsset,UnityEngine.Timeline,UNKNOWN,HIGH,MonoScript PPtr,
191,Instance_of_ActivationPlayableAsset,2175,ActivationPlayableAsset,UnityEngine.Timeline,UNKNOWN,HIGH,MonoScript PPtr,
193,Instance_of_ActivationPlayableAsset,2175,ActivationPlayableAsset,UnityEngine.Timeline,UNKNOWN,HIGH,MonoScript PPtr,
197,Instance_of_ActivationPlayableAsset,2175,ActivationPlayableAsset,UnityEngine.Timeline,UNKNOWN,HIGH,MonoScript PPtr,
200,Instance_of_ActivationPlayableAsset,2175,ActivationPlayableAsset,UnityEngine.Timeline,UNKNOWN,HIGH,MonoScript PPtr,
206,Instance_of_ActivationPlayableAsset,2175,ActivationPlayableAsset,UnityEngine.Timeline,UNKNOWN,HIGH,MonoScript PPtr,
214,Instance_of_ActivationPlayableAsset,2175,ActivationPlayableAsset,UnityEngine.Timeline,UNKNOWN,HIGH,MonoScript PPtr,
221,Instance_of_ActivationPlayableAsset,2175,ActivationPlayableAsset,UnityEngine.Timeline,UNKNOWN,HIGH,MonoScript PPtr,
223,Instance_of_ActivationPlayableAsset,2175,ActivationPlayableAsset,UnityEngine.Timeline,UNKNOWN,HIGH,MonoScript PPtr,
231,Instance_of_ActivationPlayableAsset,2175,ActivationPlayableAsset,UnityEngine.Timeline,UNKNOWN,HIGH,MonoScript PPtr,
232,Instance_of_ActivationPlayableAsset,2175,ActivationPlayableAsset,UnityEngine.Timeline,UNKNOWN,HIGH,MonoScript PPtr,
238,Instance_of_ActivationPlayableAsset,2175,ActivationPlayableAsset,UnityEngine.Timeline,UNKNOWN,HIGH,MonoScript PPtr,
242,Instance_of_ActivationPlayableAsset,2175,ActivationPlayableAsset,UnityEngine.Timeline,UNKNOWN,HIGH,MonoScript PPtr,
247,Instance_of_ActivationPlayableAsset,2175,ActivationPlayableAsset,UnityEngine.Timeline,UNKNOWN,HIGH,MonoScript PPtr,
248,Instance_of_ActivationPlayableAsset,2175,ActivationPlayableAsset,UnityEngine.Timeline,UNKNOWN,HIGH,MonoScript PPtr,
250,Instance_of_ActivationPlayableAsset,2175,ActivationPlayableAsset,UnityEngine.Timeline,UNKNOWN,HIGH,MonoScript PPtr,
252,Instance_of_ActivationPlayableAsset,2175,ActivationPlayableAsset,UnityEngine.Timeline,UNKNOWN,HIGH,MonoScript PPtr,
253,Instance_of_ActivationPlayableAsset,2175,ActivationPlayableAsset,UnityEngine.Timeline,UNKNOWN,HIGH,MonoScript PPtr,
35856,Unknown,,UNKNOWN,UNKNOWN,UNKNOWN,LOW,Stripped,Cannot resolve script
35857,Unknown,,UNKNOWN,UNKNOWN,UNKNOWN,LOW,Stripped,Cannot resolve script
35858,Unknown,,UNKNOWN,UNKNOWN,UNKNOWN,LOW,Stripped,Cannot resolve script
35859,Unknown,,UNKNOWN,UNKNOWN,UNKNOWN,LOW,Stripped,Cannot resolve script
35860,Unknown,,UNKNOWN,UNKNOWN,UNKNOWN,LOW,Stripped,Cannot resolve script
35865,Instance_of_RoadAndBridgeBuilding,2004,RoadAndBridgeBuilding,,UNKNOWN,HIGH,MonoScript PPtr,
35866,Instance_of_RoadAndBridgeBuilding,2004,RoadAndBridgeBuilding,,UNKNOWN,HIGH,MonoScript PPtr,
35896,Instance_of_CameraFacingBillboard,1635,CameraFacingBillboard,,UNKNOWN,HIGH,MonoScript PPtr,
35911,Instance_of_CameraFacingBillboard,1635,CameraFacingBillboard,,UNKNOWN,HIGH,MonoScript PPtr,
35937,Instance_of_CameraFacingBillboard,1635,CameraFacingBillboard,,UNKNOWN,HIGH,MonoScript PPtr,
36247,Instance_of_HutBuilding,891,HutBuilding,,UNKNOWN,HIGH,MonoScript PPtr,
36426,Instance_of_CameraFacingBillboard,1635,CameraFacingBillboard,,UNKNOWN,HIGH,MonoScript PPtr,
36561,Instance_of_CameraFacingBillboard,1635,CameraFacingBillboard,,UNKNOWN,HIGH,MonoScript PPtr,
36566,Instance_of_RoadAndBridgeBuilding,2004,RoadAndBridgeBuilding,,UNKNOWN,HIGH,MonoScript PPtr,
36567,Instance_of_RoadAndBridgeBuilding,2004,RoadAndBridgeBuilding,,UNKNOWN,HIGH,MonoScript PPtr,
36596,Instance_of_CameraFacingBillboard,1635,CameraFacingBillboard,,UNKNOWN,HIGH,MonoScript PPtr,
37032,Instance_of_CameraFacingBillboard,1635,CameraFacingBillboard,,UNKNOWN,HIGH,MonoScript PPtr,
37058,Instance_of_CameraFacingBillboard,1635,CameraFacingBillboard,,UNKNOWN,HIGH,MonoScript PPtr,
37098,Instance_of_CameraFacingBillboard,1635,CameraFacingBillboard,,UNKNOWN,HIGH,MonoScript PPtr,
37118,Instance_of_CameraFacingBillboard,1635,CameraFacingBillboard,,UNKNOWN,HIGH,MonoScript PPtr,
37135,Instance_of_CameraFacingBillboard,1635,CameraFacingBillboard,,UNKNOWN,HIGH,MonoScript PPtr,
37144,Instance_of_CameraFacingBillboard,1635,CameraFacingBillboard,,UNKNOWN,HIGH,MonoScript PPtr,
37243,Instance_of_CameraFacingBillboard,1635,CameraFacingBillboard,,UNKNOWN,HIGH,MonoScript PPtr,
37265,Instance_of_CameraFacingBillboard,1635,CameraFacingBillboard,,UNKNOWN,HIGH,MonoScript PPtr,
37349,Instance_of_CameraFacingBillboard,1635,CameraFacingBillboard,,UNKNOWN,HIGH,MonoScript PPtr,
37355,Instance_of_CameraFacingBillboard,1635,CameraFacingBillboard,,UNKNOWN,HIGH,MonoScript PPtr,
37393,Instance_of_CameraFacingBillboard,1635,CameraFacingBillboard,,UNKNOWN,HIGH,MonoScript PPtr,
37412,Instance_of_CameraFacingBillboard,1635,CameraFacingBillboard,,UNKNOWN,HIGH,MonoScript PPtr,
37531,Instance_of_CameraFacingBillboard,1635,CameraFacingBillboard,,UNKNOWN,HIGH,MonoScript PPtr,
37572,Instance_of_CameraFacingBillboard,1635,CameraFacingBillboard,,UNKNOWN,HIGH,MonoScript PPtr,
37580,Instance_of_CameraFacingBillboard,1635,CameraFacingBillboard,,UNKNOWN,HIGH,MonoScript PPtr,
37588,Instance_of_CameraFacingBillboard,1635,CameraFacingBillboard,,UNKNOWN,HIGH,MonoScript PPtr,
37603,Instance_of_CameraFacingBillboard,1635,CameraFacingBillboard,,UNKNOWN,HIGH,MonoScript PPtr,
37623,Instance_of_CameraFacingBillboard,1635,CameraFacingBillboard,,UNKNOWN,HIGH,MonoScript PPtr,
37648,Instance_of_GuardTower,530,GuardTower,,UNKNOWN,HIGH,MonoScript PPtr,
37721,Instance_of_CameraFacingBillboard,1635,CameraFacingBillboard,,UNKNOWN,HIGH,MonoScript PPtr,
37828,Instance_of_CameraFacingBillboard,1635,CameraFacingBillboard,,UNKNOWN,HIGH,MonoScript PPtr,
37879,Instance_of_CameraFacingBillboard,1635,CameraFacingBillboard,,UNKNOWN,HIGH,MonoScript PPtr,
37881,Instance_of_HutBuilding,891,HutBuilding,,UNKNOWN,HIGH,MonoScript PPtr,
37916,Instance_of_CameraFacingBillboard,1635,CameraFacingBillboard,,UNKNOWN,HIGH,MonoScript PPtr,
38180,Instance_of_CameraFacingBillboard,1635,CameraFacingBillboard,,UNKNOWN,HIGH,MonoScript PPtr,
38256,Instance_of_CameraFacingBillboard,1635,CameraFacingBillboard,,UNKNOWN,HIGH,MonoScript PPtr,
38315,Instance_of_CameraFacingBillboard,1635,CameraFacingBillboard,,UNKNOWN,HIGH,MonoScript PPtr,
38404,Instance_of_CameraFacingBillboard,1635,CameraFacingBillboard,,UNKNOWN,HIGH,MonoScript PPtr,
38425,Instance_of_CameraFacingBillboard,1635,CameraFacingBillboard,,UNKNOWN,HIGH,MonoScript PPtr,
38452,Instance_of_CameraFacingBillboard,1635,CameraFacingBillboard,,UNKNOWN,HIGH,MonoScript PPtr,
38474,Instance_of_CameraFacingBillboard,1635,CameraFacingBillboard,,UNKNOWN,HIGH,MonoScript PPtr,
38680,Instance_of_CameraFacingBillboard,1635,CameraFacingBillboard,,UNKNOWN,HIGH,MonoScript PPtr,
38734,Instance_of_CameraFacingBillboard,1635,CameraFacingBillboard,,UNKNOWN,HIGH,MonoScript PPtr,
38751,Instance_of_CameraFacingBillboard,1635,CameraFacingBillboard,,UNKNOWN,HIGH,MonoScript PPtr,
38865,Instance_of_HutBuilding,891,HutBuilding,,UNKNOWN,HIGH,MonoScript PPtr,
38906,Instance_of_CameraFacingBillboard,1635,CameraFacingBillboard,,UNKNOWN,HIGH,MonoScript PPtr,
39023,Instance_of_CameraFacingBillboard,1635,CameraFacingBillboard,,UNKNOWN,HIGH,MonoScript PPtr,
39085,Instance_of_PortalBuilding,1524,PortalBuilding,,UNKNOWN,HIGH,MonoScript PPtr,
39133,Instance_of_CameraFacingBillboard,1635,CameraFacingBillboard,,UNKNOWN,HIGH,MonoScript PPtr,
39206,Instance_of_CameraFacingBillboard,1635,CameraFacingBillboard,,UNKNOWN,HIGH,MonoScript PPtr,
39214,Instance_of_CameraFacingBillboard,1635,CameraFacingBillboard,,UNKNOWN,HIGH,MonoScript PPtr,
39252,Instance_of_CameraFacingBillboard,1635,CameraFacingBillboard,,UNKNOWN,HIGH,MonoScript PPtr,
39269,Instance_of_CameraFacingBillboard,1635,CameraFacingBillboard,,UNKNOWN,HIGH,MonoScript PPtr,
39377,Instance_of_CameraFacingBillboard,1635,CameraFacingBillboard,,UNKNOWN,HIGH,MonoScript PPtr,
39430,Instance_of_CameraFacingBillboard,1635,CameraFacingBillboard,,UNKNOWN,HIGH,MonoScript PPtr,
39679,Instance_of_CameraFacingBillboard,1635,CameraFacingBillboard,,UNKNOWN,HIGH,MonoScript PPtr,
39705,Instance_of_CameraFacingBillboard,1635,CameraFacingBillboard,,UNKNOWN,HIGH,MonoScript PPtr,
39831,Instance_of_CameraFacingBillboard,1635,CameraFacingBillboard,,UNKNOWN,HIGH,MonoScript PPtr,
39842,Instance_of_CameraFacingBillboard,1635,CameraFacingBillboard,,UNKNOWN,HIGH,MonoScript PPtr,
39855,Instance_of_CameraFacingBillboard,1635,CameraFacingBillboard,,UNKNOWN,HIGH,MonoScript PPtr,
