source_symbol,kind,source_file,probable_role,new_system,new_class,confidence,evidence,note
AgentItemHolder,Class,dump.cs,Item,,,HIGH,dump.cs,
DropItem,Class,dump.cs,Item,,,HIGH,dump.cs,
DropResource,Class,dump.cs,Resource,,,HIGH,dump.cs,
ConfirmDeleteSave,Class,dump.cs,Save,,,HIGH,dump.cs,
SaveSlotButton,Class,dump.cs,Save,,,HIGH,dump.cs,
SaveSlotMenu,Class,dump.cs,Save,,,HIGH,dump.cs,
ResourceInstance,Class,dump.cs,Resource,,,HIGH,dump.cs,
DayNightMusic,Class,dump.cs,Day,,,HIGH,dump.cs,
FMODController,Class,dump.cs,FMOD,,,HIGH,dump.cs,
AddItemButton,Class,dump.cs,Item,,,HIGH,dump.cs,
AddResourceButton,Class,dump.cs,Resource,,,HIGH,dump.cs,
AddUnassignedWorkerToBuildingButton,Class,dump.cs,Building,,,HIGH,dump.cs,
BuildButton,Class,dump.cs,Build,,,HIGH,dump.cs,
BuildButtonMainBar,Class,dump.cs,Build,,,HIGH,dump.cs,
BuildingCanvas,Class,dump.cs,Building,,,HIGH,dump.cs,
BuildingDetailButtons,Class,dump.cs,Building,,,HIGH,dump.cs,
BuildingDetailsUI,Class,dump.cs,Building,,,HIGH,dump.cs,
BuildingLevelsUI,Class,dump.cs,Building,,,HIGH,dump.cs,
BuildingPlacementUI,Class,dump.cs,Building,,,HIGH,dump.cs,
BuildingUnderConstructionUI,Class,dump.cs,Building,,,HIGH,dump.cs,
BuildingWorkersUI,Class,dump.cs,Building,,,HIGH,dump.cs,
BuildUI,Class,dump.cs,Build,,,HIGH,dump.cs,
ChangeItemButton,Class,dump.cs,Item,,,HIGH,dump.cs,
ChangeItemUI,Class,dump.cs,Item,,,HIGH,dump.cs,
CraftingInBuildingUI,Class,dump.cs,Building,,,HIGH,dump.cs,
DiscardResourceUI,Class,dump.cs,Resource,,,HIGH,dump.cs,
ExpeditionUI,Class,dump.cs,Expedition,,,HIGH,dump.cs,
ItemButton,Class,dump.cs,Item,,,HIGH,dump.cs,
JobButton,Class,dump.cs,Job,,,HIGH,dump.cs,
JobsUI,Class,dump.cs,Job,,,HIGH,dump.cs,
LoadingCloud,Class,dump.cs,Load,,,HIGH,dump.cs,
OccupantInBuildingSlot,Class,dump.cs,Building,,,HIGH,dump.cs,
OccupantsBuildingUI,Class,dump.cs,Building,,,HIGH,dump.cs,
ResourcesDisplay,Class,dump.cs,Resource,,,HIGH,dump.cs,
ResourcesInBuildingUI,Class,dump.cs,Resource,,,HIGH,dump.cs,
SaveIndicator,Class,dump.cs,Save,,,HIGH,dump.cs,
TimeControlUI,Class,dump.cs,Time,,,HIGH,dump.cs,
WorkerButton,Class,dump.cs,Worker,,,HIGH,dump.cs,
WorkerDetailsUI,Class,dump.cs,Worker,,,HIGH,dump.cs,
WorkerInBuildingSlot,Class,dump.cs,Building,,,HIGH,dump.cs,
WorkersUI,Class,dump.cs,Worker,,,HIGH,dump.cs,
DontDestroyOnLoad,Class,dump.cs,Load,,,HIGH,dump.cs,
EmailSaveFile,Class,dump.cs,Save,,,HIGH,dump.cs,
FirebaseInit,Class,dump.cs,Firebase,,,HIGH,dump.cs,
GPGSCloudSave,Class,dump.cs,Save,,,HIGH,dump.cs,
LoadingScreen,Class,dump.cs,Load,,,HIGH,dump.cs,
LoadSceneAfterCutscene,Class,dump.cs,Load,,,HIGH,dump.cs,
SaveFileReader,Class,dump.cs,Save,,,HIGH,dump.cs,
WorldTileSaveData,Class,dump.cs,Save,,,HIGH,dump.cs,
DroppedResource,Class,dump.cs,Resource,,,HIGH,dump.cs,
SavedCraftingData,Class,dump.cs,Save,,,HIGH,dump.cs,
WorkerData,Class,dump.cs,Worker,,,HIGH,dump.cs,
PlacedBuilding,Class,dump.cs,Building,,,HIGH,dump.cs,
ShipOnExpedition,Class,dump.cs,Expedition,,,HIGH,dump.cs,
SaveData,Class,dump.cs,Save,,,HIGH,dump.cs,
SaveDataWrapper,Class,dump.cs,Save,,,HIGH,dump.cs,
SaveLoadUtility,Class,dump.cs,Save,,,HIGH,dump.cs,
TurnOnOffDayNight,Class,dump.cs,Day,,,HIGH,dump.cs,
WorldMapIsland,Class,dump.cs,Map,,,HIGH,dump.cs,
WorldMapLocations,Class,dump.cs,Map,,,HIGH,dump.cs,
WorldMapShipSelector,Class,dump.cs,Map,,,HIGH,dump.cs,
WorldMapDungeonData,Class,dump.cs,Map,,,HIGH,dump.cs,
DungeonResourceData,Class,dump.cs,Resource,,,HIGH,dump.cs,
DungeonItemData,Class,dump.cs,Item,,,HIGH,dump.cs,
G_AudioGraph,Class,dump.cs,Audio,,,HIGH,dump.cs,
G_AudioManager,Class,dump.cs,Audio,,,HIGH,dump.cs,
G_AudioMonitor,Class,dump.cs,Audio,,,HIGH,dump.cs,
G_AudioText,Class,dump.cs,Audio,,,HIGH,dump.cs,
Tonemapping,Class,dump.cs,Map,,,HIGH,dump.cs,
AudioManager,Class,dump.cs,Audio,,,HIGH,dump.cs,
SpriteMesh,Class,dump.cs,Item,,,HIGH,dump.cs,
SpriteMeshAnimation,Class,dump.cs,Item,,,HIGH,dump.cs,
SpriteMeshInstance,Class,dump.cs,Item,,,HIGH,dump.cs,
UriBuilder,Class,dump.cs,Build,,,HIGH,dump.cs,
RegexMatchTimeoutException,Class,dump.cs,Time,,,HIGH,dump.cs,
BackgroundWorker,Class,dump.cs,Worker,,,HIGH,dump.cs,
DateTimeConverter,Class,dump.cs,Time,,,HIGH,dump.cs,
ToolboxItemAttribute,Class,dump.cs,Item,,,HIGH,dump.cs,
TimeSpanConverter,Class,dump.cs,Time,,,HIGH,dump.cs,
DateTimeOffsetConverter,Class,dump.cs,Time,,,HIGH,dump.cs,
RunWorkerCompletedEventArgs,Class,dump.cs,Worker,,,HIGH,dump.cs,
LinkedResource,Class,dump.cs,Resource,,,HIGH,dump.cs,
UniversalRenderPipelineEditorResources,Class,dump.cs,Resource,,,HIGH,dump.cs,
SqlDateTime,Struct,dump.cs,Time,,,HIGH,dump.cs,
IJob,Interface,dump.cs,Job,,,HIGH,dump.cs,
IJobFor,Interface,dump.cs,Job,,,HIGH,dump.cs,
IJobParallelFor,Interface,dump.cs,Job,,,HIGH,dump.cs,
JobHandle,Struct,dump.cs,Job,,,HIGH,dump.cs,
JobRanges,Struct,dump.cs,Job,,,HIGH,dump.cs,
JobsUtility,Struct,dump.cs,Job,,,HIGH,dump.cs,
ResourceRequest,Class,dump.cs,Resource,,,HIGH,dump.cs,
ResourcesAPI,Class,dump.cs,Resource,,,HIGH,dump.cs,
LazyLoadReference,Struct,dump.cs,Load,,,HIGH,dump.cs,
RuntimeInitializeOnLoadMethodAttribute,Class,dump.cs,Time,,,HIGH,dump.cs,
WaitForSecondsRealtime,Class,dump.cs,Time,,,HIGH,dump.cs,
Time,Class,dump.cs,Time,,,HIGH,dump.cs,
IJobParallelForTransform,Interface,dump.cs,Job,,,HIGH,dump.cs,
LoadSceneParameters,Struct,dump.cs,Load,,,HIGH,dump.cs,
TimeUpdate,Struct,dump.cs,Time,,,HIGH,dump.cs,
TimeUpdate,Struct,dump.cs,Time,,,HIGH,dump.cs,
IScriptableRuntimeReflectionSystem,Interface,dump.cs,Time,,,HIGH,dump.cs,
RenderGraphBuilder,Struct,dump.cs,Build,,,HIGH,dump.cs,
RenderGraphDefaultResources,Class,dump.cs,Resource,,,HIGH,dump.cs,
CubemapParameter,Class,dump.cs,Map,,,HIGH,dump.cs,
NoInterpCubemapParameter,Class,dump.cs,Map,,,HIGH,dump.cs,
StageRuntimeInterface,Class,dump.cs,Time,,,HIGH,dump.cs,
IRuntimeVariables,Interface,dump.cs,Time,,,HIGH,dump.cs,
JObject,Class,dump.cs,Job,,,HIGH,dump.cs,
JsonLoadSettings,Class,dump.cs,Load,,,HIGH,dump.cs,
IsoDateTimeConverter,Class,dump.cs,Time,,,HIGH,dump.cs,
JavaScriptDateTimeConverter,Class,dump.cs,Time,,,HIGH,dump.cs,
UnixDateTimeConverter,Class,dump.cs,Time,,,HIGH,dump.cs,
LayoutRebuilder,Class,dump.cs,Build,,,HIGH,dump.cs,
PlatformAppleTV,Class,dump.cs,Map,,,HIGH,dump.cs,
FMODEventPlayable,Class,dump.cs,FMOD,,,HIGH,dump.cs,
FMODEventPlayableBehavior,Class,dump.cs,FMOD,,,HIGH,dump.cs,
FMODEventPlayableBehavior,Class,dump.cs,FMOD,,,HIGH,dump.cs,
FMODEventTrack,Class,dump.cs,FMOD,,,HIGH,dump.cs,
FMODEventMixerBehaviour,Class,dump.cs,FMOD,,,HIGH,dump.cs,
FMODRuntimeManagerOnGUIHelper,Class,dump.cs,Time,,,HIGH,dump.cs,
RuntimeManager,Class,dump.cs,Time,,,HIGH,dump.cs,
BankLoadException,Class,dump.cs,Load,,,HIGH,dump.cs,
StudioBankLoader,Class,dump.cs,Load,,,HIGH,dump.cs,
DSP_PARAMETER_FLOAT_MAPPING_PIECEWISE_LINEAR,Struct,dump.cs,Map,,,HIGH,dump.cs,
DSP_PARAMETER_FLOAT_MAPPING,Struct,dump.cs,Map,,,HIGH,dump.cs,
TIMELINE_MARKER_PROPERTIES,Struct,dump.cs,Time,,,HIGH,dump.cs,
TIMELINE_BEAT_PROPERTIES,Struct,dump.cs,Time,,,HIGH,dump.cs,
TIMELINE_NESTED_BEAT_PROPERTIES,Struct,dump.cs,Time,,,HIGH,dump.cs,
TimelineClip,Class,dump.cs,Time,,,HIGH,dump.cs,
TimelineAsset,Class,dump.cs,Time,,,HIGH,dump.cs,
TimelineAsset,Class,dump.cs,Time,,,HIGH,dump.cs,
AudioPlayableAsset,Class,dump.cs,Audio,,,HIGH,dump.cs,
AudioTrack,Class,dump.cs,Audio,,,HIGH,dump.cs,
ITimeControl,Interface,dump.cs,Time,,,HIGH,dump.cs,
TimeControlPlayable,Class,dump.cs,Time,,,HIGH,dump.cs,
TimeNotificationBehaviour,Class,dump.cs,Time,,,HIGH,dump.cs,
ITimelineClipAsset,Interface,dump.cs,Time,,,HIGH,dump.cs,
TimelinePlayable,Class,dump.cs,Time,,,HIGH,dump.cs,
IAppleStoreExtendedPurchaseService,Interface,dump.cs,IAP,,,HIGH,dump.cs,
InvalidCartItemException,Class,dump.cs,Item,,,HIGH,dump.cs,
CartItem,Class,dump.cs,Item,,,HIGH,dump.cs,
IAppleOrderInfo,Interface,dump.cs,IAP,,,HIGH,dump.cs,
TimeSpanUnits,Class,dump.cs,Time,,,HIGH,dump.cs,
ProductCatalogItem,Class,dump.cs,Item,,,HIGH,dump.cs,
ConfigurationBuilder,Class,dump.cs,Build,,,HIGH,dump.cs,
IAppleConfiguration,Interface,dump.cs,IAP,,,HIGH,dump.cs,
IAppleExtensions,Interface,dump.cs,IAP,,,HIGH,dump.cs,
ISavedGameClient,Interface,dump.cs,Save,,,HIGH,dump.cs,
ISavedGameMetadata,Interface,dump.cs,Save,,,HIGH,dump.cs,
SavedGameMetadataUpdate,Struct,dump.cs,Save,,,HIGH,dump.cs,
SavedGameMetadataUpdate,Struct,dump.cs,Save,,,HIGH,dump.cs,
CodelessIAPButton,Class,dump.cs,IAP,,,HIGH,dump.cs,
CodelessIAPButton,Class,dump.cs,IAP,,,HIGH,dump.cs,
CodelessIAPButton,Class,dump.cs,IAP,,,HIGH,dump.cs,
CodelessIAPButton,Class,dump.cs,IAP,,,HIGH,dump.cs,
CodelessIAPButton,Class,dump.cs,IAP,,,HIGH,dump.cs,
CodelessIAPButton,Class,dump.cs,IAP,,,HIGH,dump.cs,
CodelessIAPButton,Class,dump.cs,IAP,,,HIGH,dump.cs,
CodelessIAPButton,Class,dump.cs,IAP,,,HIGH,dump.cs,
CodelessIAPButton,Class,dump.cs,IAP,,,HIGH,dump.cs,
CodelessIAPButton,Class,dump.cs,IAP,,,HIGH,dump.cs,
CodelessIAPButton,Class,dump.cs,IAP,,,HIGH,dump.cs,
CodelessIAPStoreListener,Class,dump.cs,IAP,,,HIGH,dump.cs,
IAPButton,Class,dump.cs,IAP,,,HIGH,dump.cs,
IAPButton,Class,dump.cs,IAP,,,HIGH,dump.cs,
IAPButton,Class,dump.cs,IAP,,,HIGH,dump.cs,
IAPButton,Class,dump.cs,IAP,,,HIGH,dump.cs,
IAPButton,Class,dump.cs,IAP,,,HIGH,dump.cs,
IAPButton,Class,dump.cs,IAP,,,HIGH,dump.cs,
IAPButton,Class,dump.cs,IAP,,,HIGH,dump.cs,
IAPButton,Class,dump.cs,IAP,,,HIGH,dump.cs,
IAPButton,Class,dump.cs,IAP,,,HIGH,dump.cs,
IAPListener,Class,dump.cs,IAP,,,HIGH,dump.cs,
IAPListener,Class,dump.cs,IAP,,,HIGH,dump.cs,
IAPListener,Class,dump.cs,IAP,,,HIGH,dump.cs,
IAPListener,Class,dump.cs,IAP,,,HIGH,dump.cs,
IAPListener,Class,dump.cs,IAP,,,HIGH,dump.cs,
IAPListener,Class,dump.cs,IAP,,,HIGH,dump.cs,
IAPListener,Class,dump.cs,IAP,,,HIGH,dump.cs,
IAPListener,Class,dump.cs,IAP,,,HIGH,dump.cs,
IAPListener,Class,dump.cs,IAP,,,HIGH,dump.cs,
IAPListener,Class,dump.cs,IAP,,,HIGH,dump.cs,
IAPListener,Class,dump.cs,IAP,,,HIGH,dump.cs,
IAPListener,Class,dump.cs,IAP,,,HIGH,dump.cs,
IAPListener,Class,dump.cs,IAP,,,HIGH,dump.cs,
RuntimeAnimatorController,Class,dump.cs,Time,,,HIGH,dump.cs,
InvalidTimeFormat,Class,dump.cs,Time,,,HIGH,dump.cs,
DownloadHandler,Class,dump.cs,Load,,,HIGH,dump.cs,
UploadHandler,Class,dump.cs,Load,,,HIGH,dump.cs,
AudioBehaviour,Class,dump.cs,Audio,,,HIGH,dump.cs,
AudioSampleProvider,Class,dump.cs,Audio,,,HIGH,dump.cs,
AudioClipPlayable,Struct,dump.cs,Audio,,,HIGH,dump.cs,
AudioMixerPlayable,Struct,dump.cs,Audio,,,HIGH,dump.cs,
AudioPlayableOutput,Struct,dump.cs,Audio,,,HIGH,dump.cs,
IAdsPreset,Interface,dump.cs,Ads,,,HIGH,dump.cs,
IAdsSettings,Interface,dump.cs,Ads,,,HIGH,dump.cs,
IManagerBuilder,Interface,dump.cs,Build,,,HIGH,dump.cs,
FmodResonanceAudioRoom,Class,dump.cs,Audio,,,HIGH,dump.cs,
IAPSecurityException,Class,dump.cs,IAP,,,HIGH,dump.cs,
