source_symbol,kind,source_file,probable_role,new_system,new_class,confidence,evidence,note
BuildingPlacementUI.SetBuildOption,Method,dump.cs,Build,,,HIGH,Returns: void,
BuildingPlacementUI.CancelBuildingPlacement,Method,dump.cs,Building,,,HIGH,Returns: void,
BuildingPlacementUI.PlaceBuilding,Method,dump.cs,Building,,,HIGH,Returns: void,
BuildingUnderConstructionUI.PauseConstruction,Method,dump.cs,Construction,,,HIGH,Returns: void,
BuildingWorkersUI.OnAddWorkerClick,Method,dump.cs,Worker,,,HIGH,Returns: void,
BuildingWorkersUI.OnCancelAddWorker,Method,dump.cs,Worker,,,HIGH,Returns: void,
BuildingWorkersUI.OnRemoveWorkerClick,Method,dump.cs,Worker,,,HIGH,Returns: void,
BuildingWorkersUI.OnSelectWorkerToAdd,Method,dump.cs,Worker,,,HIGH,Returns: void,
BuildingWorkersUI.ShowWorkerDetails,Method,dump.cs,Worker,,,HIGH,Returns: void,
BuildUI.GetIsNewBuildingUnlocked,Method,dump.cs,Building,,,HIGH,Returns: bool,
BuildUI.OnBuildingPlaced,Method,dump.cs,Building,,,HIGH,Returns: void,
BuildUI.ChangeSelectedBuildOption,Method,dump.cs,Build,,,HIGH,Returns: void,
ChangeItemUI.RemoveEquippedItem,Method,dump.cs,Item,,,HIGH,Returns: void,
ChangeItemUI.SelectItemToEquip,Method,dump.cs,Item,,,HIGH,Returns: void,
ExpeditionUI.AddResource,Method,dump.cs,Resource,,,HIGH,Returns: void,
ExpeditionUI.RemoveResource,Method,dump.cs,Resource,,,HIGH,Returns: void,
JobsUI.ShowWorkers,Method,dump.cs,Worker,,,HIGH,Returns: void,
OccupantInBuildingSlot.ShowWorkerData,Method,dump.cs,Worker,,,HIGH,Returns: void,
OccupantsBuildingUI.ShowWorkersToAdd,Method,dump.cs,Worker,,,HIGH,Returns: void,
OccupantsBuildingUI.ShowWorkerDetails,Method,dump.cs,Worker,,,HIGH,Returns: void,
ResourcesDisplay.ShowOnlyDiscoveredResources,Method,dump.cs,Resource,,,HIGH,Returns: void,
TimeControlUI.ChangeTime,Method,dump.cs,Time,,,HIGH,Returns: void,
TimeControlUI.ToggleTime,Method,dump.cs,Time,,,HIGH,Returns: void,
WorkerDetailsUI.DropResource,Method,dump.cs,Resource,,,HIGH,Returns: void,
WorkerDetailsUI.BackToJobs,Method,dump.cs,Job,,,HIGH,Returns: void,
WorkerDetailsUI.BackToBuilding,Method,dump.cs,Building,,,HIGH,Returns: void,
WorkerDetailsUI.OnClickItemSlot,Method,dump.cs,Item,,,HIGH,Returns: void,
WorkerDetailsUI.CancelChangeItem,Method,dump.cs,Item,,,HIGH,Returns: void,
WorkerInBuildingSlot.ShowWorkerData,Method,dump.cs,Worker,,,HIGH,Returns: void,
GPGSCloudSave.SetCloudSaveString,Method,dump.cs,Save,,,HIGH,Returns: void,
GPGSCloudSave.DeleteCloudSaveData,Method,dump.cs,Save,,,HIGH,Returns: void,
SaveData.GetPlacedBuilding,Method,dump.cs,Building,,,HIGH,Returns: PlacedBuilding,
SaveLoadUtility.SaveCurrentSlot,Method,dump.cs,Save,,,HIGH,Returns: void,
SaveLoadUtility.SaveCurrentDataToP31Prefs,Method,dump.cs,Save,,,HIGH,Returns: void,
SaveLoadUtility.Save,Method,dump.cs,Save,,,HIGH,Returns: void,
SaveLoadUtility.LoadAll,Method,dump.cs,Load,,,HIGH,Returns: Task,
SaveLoadUtility.LoadCurrentSlot,Method,dump.cs,Load,,,HIGH,Returns: void,
SaveLoadUtility.LoadCurrentSlot,Method,dump.cs,Load,,,HIGH,Returns: SaveData,
SaveLoadUtility.GetCurrentSaveString,Method,dump.cs,Save,,,HIGH,Returns: string,
